id	name	location	time created	tweet url	source	retweet count	likes	tweet	compound	Sentiment
951202770178183168	Mator		2022-08-16 07:05:52+00:00	https://twitter.com/shaunimator94/status/1559436261466726400	Twitter for Android	2235	0	RT Festus Keyamu Official Spokesman Tinubu All Progressives Congress presidential campaign shared Video known Cultist Thug Kille	0.34	Positive
1403686189996064776	HRM Joke ⭐⭐		2022-08-16 07:05:51+00:00	https://twitter.com/RichChuks2/status/1559436259164131329	Twitter for Android	2235	0	RT Festus Keyamu Official Spokesman Tinubu All Progressives Congress presidential campaign shared Video known Cultist Thug Kille	0.34	Positive
461076007	Ricky	Abuja	2022-08-16 07:05:51+00:00	https://twitter.com/rique252/status/1559436256936968193	Twitter for Android	5633	0	RT You guy remember Kabaka notorious criminal cultist BBC documentary Cult group Nigeria r	-0.743	Negative
1508400686312132610	Franklin Obinna	Degla Maadi, Cairo Egypt	2022-08-16 07:05:49+00:00	https://twitter.com/Frank_Obinna79/status/1559436248988745731	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
1317109455461429248	Wisdom		2022-08-16 07:05:46+00:00	https://twitter.com/Wisdom30385156/status/1559436237928275968	Twitter for Android	606	0	RT If vawulence name would called Isabella Obidients ready Peter Obi Ebuka Northerner Chomzy RCC	0.3612	Positive
263892180	Dark horse	Lagos,Nigeria	2022-08-16 07:05:44+00:00	https://twitter.com/millidollsbrian/status/1559436230223347713	Twitter for Android	5633	0	RT You guy remember Kabaka notorious criminal cultist BBC documentary Cult group Nigeria r	-0.743	Negative
1538532864060542977	Adepaul001		2022-08-16 07:05:43+00:00	https://twitter.com/adepaul0012/status/1559436223177015297	Twitter for Android	606	0	RT So landlord lagos plan make Nigerians poorer reducing purchasing power increasing tax I sa	-0.3612	Negative
222605974	One Gun General™🇸🇦	KSA	2022-08-16 07:05:43+00:00	https://twitter.com/emmy4life02/status/1559436223076261889	Twitter for Android	554	0	RT At point Even Atiku decides become Tinubu running mate still win presidential elect	0.5859	Positive
1558902528275783683	Mildred David		2022-08-16 07:05:42+00:00	https://twitter.com/Mildred43542375/status/1559436222052835328	Twitter for Android	2189	0	RT While El Rufai Tinubu Kwankwaso Buba Galadima Festus Keyamo amp others talk Peter Obi man opposite	0.0	Neutral
983441109094420480	Mykkelle	somewhere on earth	2022-08-16 07:05:42+00:00	https://twitter.com/Mykkelle1/status/1559436221977354240	Twitter for Android	2526	0	RT Tony Kabaka amp Festus Keyamo suppowho want The deadly cultist endorse Tinubu But D Day	0.2023	Positive
